Date,Open,High,Low,Close,Adj Close,Volume,Change
2020-04-16,47.796001,50.630001,47.114666,49.680668,49.680668,309868500,0.0394
2020-04-17,51.485332,51.663334,49.844002,50.259335,50.259335,196923000,-0.0238
2020-04-20,48.846668,51.037998,47.480667,49.757332,49.757332,221199000,0.0186
2020-04-21,48.674667,50.222000,44.919334,45.781334,45.781334,303136500,-0.0594
2020-04-22,46.931999,48.933334,45.914001,48.807335,48.807335,212482500,0.0400
2020-04-23,48.506668,48.933334,46.875332,47.042000,47.042000,198550500,-0.0302
2020-04-24,47.387333,48.715332,46.545334,48.343334,48.343334,198180000,0.0202
2020-04-27,49.174000,53.299332,49.000000,53.250000,53.250000,310221000,0.0829
2020-04-28,53.042667,53.666668,50.445999,51.274666,51.274666,228330000,-0.0333
2020-04-29,52.678001,53.546665,52.210667,53.367332,53.367332,243240000,0.0131
2020-04-30,57.012669,57.987999,50.900002,52.125332,52.125332,427078500,-0.0857
2020-05-01,50.333332,51.518002,45.535999,46.754665,46.754665,487977000,-0.0711
2020-05-04,46.733334,50.799999,46.533333,50.745998,50.745998,288556500,0.0859
2020-05-05,52.652668,53.261333,50.812000,51.214001,51.214001,254875500,-0.0273
2020-05-06,51.766666,52.653332,50.740665,52.172001,52.172001,166848000,0.0078
2020-05-07,51.813999,53.093334,51.490002,52.002666,52.002666,172915500,0.0036
2020-05-08,52.917999,54.933334,52.467335,54.627998,54.627998,241297500,0.0323
2020-05-11,52.700668,54.933334,52.333332,54.085999,54.085999,247794000,0.0263
2020-05-12,55.133331,56.219334,53.866669,53.960667,53.960667,238603500,-0.0213
2020-05-13,54.722000,55.066666,50.886665,52.730667,52.730667,285982500,-0.0364
2020-05-14,52.000000,53.557335,50.933334,53.555332,53.555332,205233000,0.0299
2020-05-15,52.689999,53.669998,52.436668,53.278000,53.278000,157776000,0.0112
2020-05-18,55.185333,55.647999,53.591999,54.242001,54.242001,174987000,-0.0171
2020-05-19,54.344666,54.804668,53.738667,53.867332,53.867332,144547500,-0.0088
2020-05-20,54.700001,55.066666,54.119999,54.370667,54.370667,109639500,-0.0060
2020-05-21,54.400002,55.500000,53.066666,55.173332,55.173332,183819000,0.0142
2020-05-22,54.811333,55.452000,54.133331,54.458668,54.458668,149812500,-0.0064
2020-05-26,55.633331,55.639999,54.380669,54.591331,54.591331,121345500,-0.0187
2020-05-27,54.723999,55.180668,52.333332,54.681999,54.681999,173242500,-0.0008
2020-05-28,54.234001,54.983334,53.445999,53.720669,53.720669,108834000,-0.0095
2020-05-29,53.916668,55.666668,53.613998,55.666668,55.666668,176467500,0.0325
2020-06-01,57.200001,59.933334,56.939999,59.873333,59.873333,224092500,0.0467
2020-06-02,59.646667,60.577332,58.066666,58.770668,58.770668,203484000,-0.0147
2020-06-03,59.208000,59.862667,58.673332,58.863998,58.863998,119242500,-0.0058
2020-06-04,59.325333,59.716667,57.229332,57.625332,57.625332,133315500,-0.0287
2020-06-05,58.522667,59.101334,57.746666,59.043999,59.043999,117178500,0.0089
2020-06-08,61.266666,63.333332,60.610668,63.327999,63.327999,212620500,0.0336
2020-06-09,62.667332,63.629333,61.595333,62.711334,62.711334,170823000,0.0007
2020-06-10,66.125336,68.498665,65.500000,68.336670,68.336670,278451000,0.0334
2020-06-11,66.013336,67.930664,64.800003,64.856003,64.856003,238747500,-0.0175
2020-06-12,65.333336,65.865334,60.840000,62.352001,62.352001,251451000,-0.0456
2020-06-15,61.186001,66.589333,60.566666,66.059998,66.059998,235458000,0.0797
2020-06-16,67.456665,67.525330,64.159332,65.475334,65.475334,210766500,-0.0294
2020-06-17,65.847336,67.000000,65.504669,66.119331,66.119331,148362000,0.0041
2020-06-18,66.866669,67.946671,66.297997,66.930664,66.930664,146278500,0.0010
2020-06-19,67.518669,67.731331,66.089333,66.726669,66.726669,130195500,-0.0117
2020-06-22,66.663330,67.258667,66.001335,66.288002,66.288002,95436000,-0.0056
2020-06-23,66.592003,67.466667,66.267334,66.785332,66.785332,95479500,0.0029
2020-06-24,66.274002,66.725334,63.542667,64.056664,64.056664,164394000,-0.0335
2020-06-25,63.618000,65.732002,62.476665,65.732002,65.732002,138817500,0.0332
2020-06-26,66.318665,66.333336,63.658001,63.982666,63.982666,132823500,-0.0352
2020-06-29,64.600670,67.333336,63.234669,67.290001,67.290001,135396000,0.0416
2020-06-30,67.099998,72.512665,66.915337,71.987335,71.987335,253777500,0.0728
2020-07-01,72.199997,75.688667,72.033333,74.641998,74.641998,199903500,0.0338
2020-07-02,81.431999,81.866669,79.040001,80.577332,80.577332,258751500,-0.0105
2020-07-06,85.112663,91.852669,84.402664,91.438667,91.438667,308548500,0.0743
2020-07-07,93.667336,95.300003,89.113998,92.657333,92.657333,322345500,-0.0108
2020-07-08,93.666664,94.484001,87.422668,91.058670,91.058670,244669500,-0.0278
2020-07-09,93.132668,93.903999,90.085335,92.952003,92.952003,175764000,-0.0019
2020-07-10,93.066666,103.261330,91.734001,102.976669,102.976669,350064000,0.1065
2020-07-13,110.599998,119.666000,98.073997,99.804001,99.804001,584781000,-0.0976
2020-07-14,103.733330,106.000000,95.400002,101.120003,101.120003,351271500,-0.0252
2020-07-15,102.866669,103.333336,97.133331,103.067329,103.067329,245517000,0.0020
2020-07-16,98.477333,102.113998,97.733330,100.042664,100.042664,214512000,0.0159
2020-07-17,100.896667,102.500664,99.333336,100.056000,100.056000,139950000,-0.0083
2020-07-20,101.267334,110.000000,99.199997,109.533333,109.533333,256821000,0.0816
2020-07-21,109.328667,111.666664,103.866669,104.557335,104.557335,241608000,-0.0436
2020-07-22,106.599998,108.428001,104.133331,106.155334,106.155334,212416500,-0.0042
2020-07-23,111.930000,112.599998,98.718002,100.871330,100.871330,364927500,-0.0988
2020-07-24,94.400665,97.666664,91.102669,94.466667,94.466667,290949000,0.0007
2020-07-27,95.666664,103.195999,94.199997,102.639999,102.639999,240730500,0.0729
2020-07-28,100.266670,104.313332,98.294670,98.432671,98.432671,237130500,-0.0183
2020-07-29,100.066666,102.320663,99.133331,99.940666,99.940666,141403500,-0.0013
2020-07-30,99.199997,100.882668,98.066666,99.166000,99.166000,114315000,-0.0003
2020-07-31,101.000000,101.136665,94.732002,95.384003,95.384003,183123000,-0.0556
2020-08-03,96.613335,100.653999,96.292000,99.000000,99.000000,132139500,0.0247
2020-08-04,99.667336,101.827332,97.466667,99.133331,99.133331,126225000,-0.0054
2020-08-05,99.532669,99.989334,97.887337,99.001335,99.001335,74217000,-0.0053
2020-08-06,99.388664,101.153999,98.484001,99.305336,99.305336,89884500,-0.0008
2020-08-07,99.969330,99.983330,94.334000,96.847336,96.847336,133446000,-0.0312
2020-08-10,96.533333,97.166664,92.389336,94.571335,94.571335,112834500,-0.0203
2020-08-11,93.066666,94.666664,91.000000,91.625999,91.625999,129387000,-0.0155
2020-08-12,98.000000,105.666664,95.666664,103.650665,103.650665,327441000,0.0577
2020-08-13,107.400002,110.078667,104.484001,108.066666,108.066666,306379500,0.0062
2020-08-14,110.999336,111.253334,108.442665,110.047333,110.047333,188664000,-0.0086
2020-08-17,111.800003,123.057335,111.522003,122.375999,122.375999,303634500,0.0946
2020-08-18,126.599335,128.259995,123.007332,125.806000,125.806000,247117500,-0.0063
2020-08-19,124.333336,127.400002,122.747330,125.235336,125.235336,183079500,0.0073
2020-08-20,124.045334,134.799332,123.804001,133.455338,133.455338,309177000,0.0759
2020-08-21,136.317337,139.699326,135.003326,136.665329,136.665329,322344000,0.0026
2020-08-24,141.751999,141.933334,128.501328,134.279999,134.279999,300954000,-0.0527
2020-08-25,131.659332,135.196671,131.199997,134.889328,134.889328,159883500,0.0245
2020-08-26,137.333328,144.399994,136.908661,143.544662,143.544662,213591000,0.0452
2020-08-27,145.363998,153.039993,142.833328,149.250000,149.250000,355395000,0.0267
2020-08-28,153.007996,154.565994,145.768005,147.559998,147.559998,301218000,-0.0356
2020-08-31,148.203339,166.713333,146.703339,166.106674,166.106674,355123200,0.1208
2020-09-01,167.380005,167.496674,156.836670,158.350006,158.350006,269523300,-0.0539
2020-09-02,159.663330,159.679993,135.039993,149.123337,149.123337,288528300,-0.0660
2020-09-03,135.743332,143.933334,134.000000,135.666672,135.666672,262788300,-0.0006
2020-09-04,134.270004,142.666672,124.006668,139.440002,139.440002,330965700,0.0385
2020-09-08,118.666664,122.913330,109.959999,110.070000,110.070000,346397100,-0.0724
2020-09-09,118.866669,123.000000,113.836670,122.093330,122.093330,238397400,0.0271
2020-09-10,128.736664,132.996674,120.186668,123.779999,123.779999,254791800,-0.0385
2020-09-11,127.313332,127.500000,120.166664,124.239998,124.239998,182152500,-0.0241
2020-09-14,126.983330,140.000000,124.433334,139.873337,139.873337,249061800,0.1015
2020-09-15,145.520004,153.979996,143.566666,149.919998,149.919998,291894600,0.0302
2020-09-16,146.623337,152.596664,145.103333,147.253326,147.253326,216837900,0.0043
2020-09-17,138.533340,145.929993,136.000000,141.143326,141.143326,230337600,0.0188
2020-09-18,149.313339,150.333328,142.933334,147.383331,147.383331,259220400,-0.0129
2020-09-21,151.043335,151.893326,135.690002,149.796661,149.796661,328430400,-0.0083
2020-09-22,143.199997,145.919998,139.199997,141.410004,141.410004,238742400,-0.0125
2020-09-23,135.053329,137.383331,125.293335,126.786667,126.786667,285222600,-0.0612
2020-09-24,121.266670,133.166672,117.099998,129.263336,129.263336,289683300,0.0659
2020-09-25,131.156662,136.243332,130.433334,135.779999,135.779999,201625500,0.0353
2020-09-28,141.539993,142.693329,138.516663,140.399994,140.399994,149158800,-0.0081
