Date,Open,High,Low,Close,Adj Close,Volume
2020-04-16,71.845001,72.050003,70.587502,71.672501,69.991364,157125200
2020-04-17,71.172501,71.737503,69.214996,70.699997,69.041672,215250000
2020-04-20,69.487503,70.419998,69.212502,69.232498,67.608589,130015200
2020-04-21,69.070000,69.312500,66.357498,67.092499,65.518799,180991600
2020-04-22,68.402496,69.474998,68.050003,69.025002,67.405952,116862400
2020-04-23,68.967499,70.437500,68.717499,68.757500,67.144737,124814400
2020-04-24,69.300003,70.752502,69.250000,70.742500,69.083176,126161200
2020-04-27,70.449997,71.135002,69.987503,70.792503,69.132004,117087600
2020-04-28,71.269997,71.457497,69.550003,69.644997,68.011421,112004800
2020-04-29,71.182503,72.417503,70.972504,71.932503,70.245277,137280800
2020-04-30,72.489998,73.632500,72.087502,73.449997,71.727158,183064000
2020-05-01,71.562500,74.750000,71.462502,72.267502,70.572411,240616800
2020-05-04,72.292503,73.422501,71.580002,73.290001,71.570923,133568000
2020-05-05,73.764999,75.250000,73.614998,74.389999,72.645119,147751200
2020-05-06,75.114998,75.809998,74.717499,75.157501,73.394623,142333600
2020-05-07,75.805000,76.292503,75.492500,75.934998,74.153877,115215200
2020-05-08,76.410004,77.587502,76.072502,77.532501,75.918877,133838400
2020-05-11,77.025002,79.262497,76.809998,78.752502,77.113480,145946400
2020-05-12,79.457497,79.922501,77.727501,77.852501,76.232224,162301200
2020-05-13,78.037498,78.987503,75.802498,76.912498,75.311768,200622400
2020-05-14,76.127502,77.447502,75.382500,77.385002,75.774429,158929200
2020-05-15,75.087502,76.974998,75.052498,76.927498,75.326462,166348400
2020-05-18,78.292503,79.125000,77.580002,78.739998,77.101227,135178400
2020-05-19,78.757500,79.629997,78.252502,78.285004,76.655716,101729600
2020-05-20,79.169998,79.879997,79.129997,79.807503,78.146515,111504800
2020-05-21,79.665001,80.222504,78.967499,79.212502,77.563911,102688800
2020-05-22,78.942497,79.807503,78.837502,79.722504,78.063301,81803200
2020-05-26,80.875000,81.059998,79.125000,79.182503,77.534538,125522000
2020-05-27,79.035004,79.677498,78.272499,79.527496,77.872345,112945200
2020-05-28,79.192497,80.860001,78.907501,79.562500,77.906624,133560800
2020-05-29,79.812500,80.287498,79.117500,79.485001,77.830742,153532400
2020-06-01,79.437500,80.587502,79.302498,80.462502,78.787903,80791200
2020-06-02,80.187500,80.860001,79.732498,80.834999,79.152626,87642800
2020-06-03,81.165001,81.550003,80.574997,81.279999,79.588371,104491200
2020-06-04,81.097504,81.404999,80.195000,80.580002,78.902931,87560400
2020-06-05,80.837502,82.937500,80.807503,82.875000,81.150169,137250400
2020-06-08,82.562500,83.400002,81.830002,83.364998,81.629967,95654400
2020-06-09,83.035004,86.402496,83.002502,85.997498,84.207687,147712400
2020-06-10,86.974998,88.692497,86.522499,88.209999,86.374138,166651600
2020-06-11,87.327499,87.764999,83.870003,83.974998,82.227280,201662400
2020-06-12,86.180000,86.949997,83.555000,84.699997,82.937187,200146000
2020-06-15,83.312500,86.419998,83.144997,85.747498,83.962891,138808800
2020-06-16,87.864998,88.300003,86.180000,88.019997,86.188103,165428800
